Time [s], Analyzer Name, Decoded Protocol Result
0.044423796000000,I2C,0x01 + ACK
0.044513796000000,I2C,0x80 + ACK
0.044633796000000,I2C,Setup Write to [0x36] + ACK
0.044723796000000,I2C,0x3B + ACK
0.044813796000000,I2C,0x07 + ACK
0.044903796000000,I2C,0x0C + ACK
0.045023796000000,I2C,Setup Write to [0x36] + ACK
0.045113792000000,I2C,0x38 + ACK
0.045203792000000,I2C,0x0C + ACK
0.045293792000000,I2C,0x09 + ACK
0.045413792000000,I2C,Setup Write to [0x36] + ACK
0.045503792000000,I2C,0x38 + ACK
0.045593792000000,I2C,0x0D + ACK
0.045683792000000,I2C,0x70 + ACK
0.045803792000000,I2C,Setup Write to [0x36] + ACK
0.045893792000000,I2C,0x38 + ACK
0.045983792000000,I2C,0x0E + ACK
0.046073792000000,I2C,0x04 + ACK
0.046193792000000,I2C,Setup Write to [0x36] + ACK
0.046283788000000,I2C,0x38 + ACK
0.046373788000000,I2C,0x0F + ACK
0.046463788000000,I2C,0x50 + ACK
0.046583788000000,I2C,Setup Write to [0x36] + ACK
0.046673788000000,I2C,0x38 + ACK
0.046763788000000,I2C,0x14 + ACK
0.046853788000000,I2C,0x11 + ACK
0.046973788000000,I2C,Setup Write to [0x36] + ACK
0.047063784000000,I2C,0x38 + ACK
0.047153784000000,I2C,0x15 + ACK
0.047243784000000,I2C,0x11 + ACK
0.047363788000000,I2C,Setup Write to [0x36] + ACK
0.047453784000000,I2C,0x37 + ACK
0.047543784000000,I2C,0x08 + ACK
0.047633784000000,I2C,0x64 + ACK
0.047753784000000,I2C,Setup Write to [0x36] + ACK
0.047843784000000,I2C,0x37 + ACK
0.047933784000000,I2C,0x09 + ACK
0.048023784000000,I2C,0x12 + ACK
0.048143784000000,I2C,Setup Write to [0x36] + ACK
0.048233780000000,I2C,0x38 + ACK
0.048323780000000,I2C,0x08 + ACK
0.048413780000000,I2C,0x07 + ACK
0.048533780000000,I2C,Setup Write to [0x36] + ACK
0.048623780000000,I2C,0x38 + ACK
0.048713780000000,I2C,0x09 + ACK
0.048803780000000,I2C,0x80 + ACK
0.048923780000000,I2C,Setup Write to [0x36] + ACK
0.049013780000000,I2C,0x38 + ACK
0.049103780000000,I2C,0x0A + ACK
0.049193780000000,I2C,0x04 + ACK
0.049313780000000,I2C,Setup Write to [0x36] + ACK
0.049403780000000,I2C,0x38 + ACK
0.049493776000000,I2C,0x0B + ACK
0.049583776000000,I2C,0x38 + ACK
0.049703776000000,I2C,Setup Write to [0x36] + ACK
0.049793776000000,I2C,0x38 + ACK
0.049883776000000,I2C,0x00 + ACK
0.049973776000000,I2C,0x01 + ACK
0.050093776000000,I2C,Setup Write to [0x36] + ACK
0.050183776000000,I2C,0x38 + ACK
0.050273776000000,I2C,0x01 + ACK
0.050363772000000,I2C,0x5C + ACK
0.050483776000000,I2C,Setup Write to [0x36] + ACK
0.050573772000000,I2C,0x38 + ACK
0.050663772000000,I2C,0x02 + ACK
0.050753772000000,I2C,0x01 + ACK
0.050873772000000,I2C,Setup Write to [0x36] + ACK
0.050963772000000,I2C,0x38 + ACK
0.051053772000000,I2C,0x03 + ACK
0.051143772000000,I2C,0xB2 + ACK
0.051263772000000,I2C,Setup Write to [0x36] + ACK
0.051353772000000,I2C,0x38 + ACK
0.051443768000000,I2C,0x04 + ACK
0.051533768000000,I2C,0x08 + ACK
0.051653772000000,I2C,Setup Write to [0x36] + ACK
0.051743768000000,I2C,0x38 + ACK
0.051833768000000,I2C,0x05 + ACK
0.051923768000000,I2C,0xE3 + ACK
0.052043768000000,I2C,Setup Write to [0x36] + ACK
0.052133768000000,I2C,0x38 + ACK
0.052223768000000,I2C,0x06 + ACK
0.052313768000000,I2C,0x05 + ACK
0.052433768000000,I2C,Setup Write to [0x36] + ACK
0.052523764000000,I2C,0x38 + ACK
0.052613764000000,I2C,0x07 + ACK
0.052703764000000,I2C,0xF1 + ACK
0.052823768000000,I2C,Setup Write to [0x36] + ACK
0.052913764000000,I2C,0x38 + ACK
0.053003764000000,I2C,0x11 + ACK
0.053093764000000,I2C,0x04 + ACK
0.053213764000000,I2C,Setup Write to [0x36] + ACK
0.053303764000000,I2C,0x38 + ACK
0.053393764000000,I2C,0x13 + ACK
0.053483760000000,I2C,0x02 + ACK
0.053603764000000,I2C,Setup Write to [0x36] + ACK
0.053693760000000,I2C,0x36 + ACK
0.053783760000000,I2C,0x30 + ACK
0.053873760000000,I2C,0x2E + ACK
0.053993760000000,I2C,Setup Write to [0x36] + ACK
0.054083760000000,I2C,0x36 + ACK
0.054173760000000,I2C,0x32 + ACK
0.054263760000000,I2C,0xE2 + ACK
0.054383760000000,I2C,Setup Write to [0x36] + ACK
0.054473760000000,I2C,0x36 + ACK
0.054563760000000,I2C,0x33 + ACK
0.054653756000000,I2C,0x23 + ACK
0.054773760000000,I2C,Setup Write to [0x36] + ACK
0.054863756000000,I2C,0x36 + ACK
0.054953756000000,I2C,0x34 + ACK
0.055043756000000,I2C,0x44 + ACK
0.055163756000000,I2C,Setup Write to [0x36] + ACK
0.055253756000000,I2C,0x36 + ACK
0.055343756000000,I2C,0x36 + ACK
0.055433756000000,I2C,0x06 + ACK
0.055553756000000,I2C,Setup Write to [0x36] + ACK
0.055643756000000,I2C,0x36 + ACK
0.055733752000000,I2C,0x20 + ACK
0.055823752000000,I2C,0x64 + ACK
0.055943756000000,I2C,Setup Write to [0x36] + ACK
0.056033756000000,I2C,0x36 + ACK
0.056123752000000,I2C,0x21 + ACK
0.056213752000000,I2C,0xE0 + ACK
0.056333752000000,I2C,Setup Write to [0x36] + ACK
0.056423752000000,I2C,0x36 + ACK
0.056513752000000,I2C,0x00 + ACK
0.056603752000000,I2C,0x37 + ACK
0.056723752000000,I2C,Setup Write to [0x36] + ACK
0.056813748000000,I2C,0x37 + ACK
0.056903748000000,I2C,0x04 + ACK
0.056993748000000,I2C,0xA0 + ACK
0.057113748000000,I2C,Setup Write to [0x36] + ACK
0.057203748000000,I2C,0x37 + ACK
0.057293748000000,I2C,0x03 + ACK
0.057383748000000,I2C,0x5A + ACK
0.057503748000000,I2C,Setup Write to [0x36] + ACK
0.057593748000000,I2C,0x37 + ACK
0.057683744000000,I2C,0x15 + ACK
0.057773744000000,I2C,0x78 + ACK
0.057893748000000,I2C,Setup Write to [0x36] + ACK
0.057983744000000,I2C,0x37 + ACK
0.058073744000000,I2C,0x17 + ACK
0.058163744000000,I2C,0x01 + ACK
0.058283744000000,I2C,Setup Write to [0x36] + ACK
0.058373744000000,I2C,0x37 + ACK
0.058463744000000,I2C,0x31 + ACK
0.058553744000000,I2C,0x02 + ACK
0.058673744000000,I2C,Setup Write to [0x36] + ACK
0.058763744000000,I2C,0x37 + ACK
0.058853744000000,I2C,0x0B + ACK
0.058943740000000,I2C,0x60 + ACK
0.059063744000000,I2C,Setup Write to [0x36] + ACK
0.059153740000000,I2C,0x37 + ACK
0.059243740000000,I2C,0x05 + ACK
0.059333740000000,I2C,0x1A + ACK
0.059453740000000,I2C,Setup Write to [0x36] + ACK
0.059543740000000,I2C,0x3F + ACK
0.059633740000000,I2C,0x05 + ACK
0.059723740000000,I2C,0x02 + ACK
